"leaf_area","time","genotype","order"
2.41861632,"2 week","Col-0","6th"
2.5947424,"2 week","Col-0","6th"
2.6014688,"2 week","Col-0","6th"
1.8178176,"2 week","Col-0","6th"
2.53732864,"2 week","Col-0","6th"
2.23976256,"2 week","Col-0","6th"
3.30644288,"2 week","Col-0","6th"
1.73689088,"2 week","Col-0","6th"
2.46611136,"2 week","Col-0","7th"
2.23849984,"2 week","Col-0","7th"
1.40439296,"2 week","Col-0","7th"
2.22006016,"2 week","Col-0","7th"
2.9874656,"2 week","Col-0","7th"
2.59886144,"2 week","Col-0","7th"
2.28572672,"2 week","Col-0","7th"
1.57350592,"2 week","Col-0","7th"
2.20511872,"2 week","Col-0","8th"
2.48071104,"2 week","Col-0","8th"
2.72369344,"2 week","Col-0","8th"
1.3597376,"2 week","Col-0","8th"
1.89518272,"2 week","Col-0","8th"
2.02440896,"2 week","Col-0","8th"
1.8993024,"2 week","Col-0","8th"
0.62368192,"2 week","Col-0","8th"
1.41422784,"2 week","RIC","6th"
1.48878976,"2 week","RIC","6th"
1.10827456,"2 week","RIC","6th"
1.3287552,"2 week","RIC","6th"
1.60424256,"2 week","RIC","6th"
1.06293248,"2 week","RIC","6th"
1.43905088,"2 week","RIC","6th"
1.05018432,"2 week","RIC","6th"
1.40429056,"2 week","RIC","7th"
1.16912896,"2 week","RIC","7th"
1.4005504,"2 week","RIC","7th"
1.2966688,"2 week","RIC","7th"
1.30128256,"2 week","RIC","7th"
0.991424,"2 week","RIC","7th"
1.2185984,"2 week","RIC","7th"
0.8761824,"2 week","RIC","7th"
1.4785472,"2 week","RIC","8th"
1.32900096,"2 week","RIC","8th"
1.23563648,"2 week","RIC","8th"
0.96629568,"2 week","RIC","8th"
1.4869632,"2 week","RIC","8th"
1.17407872,"2 week","RIC","8th"
0.78926784,"2 week","RIC","8th"
0.52857728,"2 week","RIC","8th"
1.95801856,"2 week","ROP","6th"
1.62977664,"2 week","ROP","6th"
0.92923648,"2 week","ROP","6th"
0.46050176,"2 week","ROP","6th"
1.68394432,"2 week","ROP","6th"
0.86659904,"2 week","ROP","6th"
1.86657984,"2 week","ROP","6th"
0.551072,"2 week","ROP","6th"
1.27059584,"2 week","ROP","7th"
1.535456,"2 week","ROP","7th"
0.9757472,"2 week","ROP","7th"
0.9093312,"2 week","ROP","7th"
