"genotype","side","plant_num","rep_num","time","stomata_count","field_of_view_area_square_micron","stomata_density"
"Col-0","abaxial","P1","1","week3",14,110755.84,0.000126404169748521
"Col-0","abaxial","P1","2","week3",10,110755.84,9.02886926775148e-05
"Col-0","abaxial","P1","2","week5",13,110755.84,0.000117375300480769
"Col-0","abaxial","P2","1","week3",11,110755.84,9.93175619452663e-05
"Col-0","abaxial","P2","1","week5",10,110755.84,9.02886926775148e-05
"Col-0","abaxial","P2","2","week3",13,110755.84,0.000117375300480769
"Col-0","abaxial","P2","2","week5",10,110755.84,9.02886926775148e-05
"Col-0","abaxial","P3","1","week3",12,110755.84,0.000108346431213018
"Col-0","abaxial","P3","1","week5",8,110755.84,7.22309541420118e-05
"Col-0","abaxial","P3","2","week3",11,110755.84,9.93175619452663e-05
"Col-0","abaxial","P3","2","week5",10,110755.84,9.02886926775148e-05
"Col-0","adaxial","P1","1","week3",10,110755.84,9.02886926775148e-05
"Col-0","adaxial","P1","1","week5",6,110755.84,5.41732156065089e-05
"Col-0","adaxial","P1","2","week3",8,110755.84,7.22309541420118e-05
"Col-0","adaxial","P1","2","week5",6,110755.84,5.41732156065089e-05
"Col-0","adaxial","P2","1","week3",8,110755.84,7.22309541420118e-05
"Col-0","adaxial","P2","1","week5",7,110755.84,6.32020848742604e-05
"Col-0","adaxial","P2","2","week3",8,110755.84,7.22309541420118e-05
"Col-0","adaxial","P2","2","week5",9,110755.84,8.12598234097633e-05
"Col-0","adaxial","P3","1","week3",8,110755.84,7.22309541420118e-05
"Col-0","adaxial","P3","1","week5",8,110755.84,7.22309541420118e-05
"Col-0","adaxial","P3","2","week3",11,110755.84,9.93175619452663e-05
"Col-0","adaxial","P3","2","week5",5,110755.84,4.51443463387574e-05
"ROP","abaxial","P1","1","week3",10,110755.84,9.02886926775148e-05
"ROP","abaxial","P1","1","week5",14,110755.84,0.000126404169748521
"ROP","abaxial","P1","2","week3",14,110755.84,0.000126404169748521
"ROP","abaxial","P1","2","week5",13,110755.84,0.000117375300480769
"ROP","abaxial","P2","1","week3",14,110755.84,0.000126404169748521
"ROP","abaxial","P2","1","week5",12,110755.84,0.000108346431213018
"ROP","abaxial","P2","2","week3",15,110755.84,0.000135433039016272
"ROP","abaxial","P2","2","week5",14,110755.84,0.000126404169748521
"ROP","abaxial","P3","1","week3",11,110755.84,9.93175619452663e-05
"ROP","abaxial","P3","1","week5",14,110755.84,0.000126404169748521
"ROP","abaxial","P3","2","week3",12,110755.84,0.000108346431213018
"ROP","abaxial","P3","2","week5",12,110755.84,0.000108346431213018
"ROP","adaxial","P1","1","week3",9,110755.84,8.12598234097633e-05
"ROP","adaxial","P1","1","week5",9,110755.84,8.12598234097633e-05
"ROP","adaxial","P1","2","week3",8,110755.84,7.22309541420118e-05
"ROP","adaxial","P1","2","week5",10,110755.84,9.02886926775148e-05
"ROP","adaxial","P2","1","week3",9,110755.84,8.12598234097633e-05
"ROP","adaxial","P2","1","week5",10,110755.84,9.02886926775148e-05
"ROP","adaxial","P2","2","week3",12,110755.84,0.000108346431213018
"ROP","adaxial","P2","2","week5",9,110755.84,8.12598234097633e-05
"ROP","adaxial","P3","1","week3",10,110755.84,9.02886926775148e-05
"ROP","adaxial","P3","1","week5",11,110755.84,9.93175619452663e-05
"ROP","adaxial","P3","2","week3",10,110755.84,9.02886926775148e-05
"ROP","adaxial","P3","2","week5",11,110755.84,9.93175619452663e-05
"RIC","abaxial","P1","1","week3",18,110755.84,0.000162519646819527
"RIC","abaxial","P1","1","week5",8,110755.84,7.22309541420118e-05
"RIC","abaxial","P1","2","week3",14,110755.84,0.000126404169748521
"RIC","abaxial","P1","2","week5",11,110755.84,9.93175619452663e-05
"RIC","abaxial","P2","1","week3",7,110755.84,6.32020848742604e-05
"RIC","abaxial","P2","1","week5",14,110755.84,0.000126404169748521
"RIC","abaxial","P2","2","week3",6,110755.84,5.41732156065089e-05
"RIC","abaxial","P2","2","week5",15,110755.84,0.000135433039016272
"RIC","abaxial","P3","1","week3",17,110755.84,0.000153490777551775
"RIC","abaxial","P3","1","week5",18,110755.84,0.000162519646819527
"RIC","abaxial","P3","2","week3",19,110755.84,0.000171548516087278
"RIC","abaxial","P3","2","week5",19,110755.84,0.000171548516087278
"RIC","adaxial","P1","1","week3",11,110755.84,9.93175619452663e-05
"RIC","adaxial","P1","1","week5",10,110755.84,9.02886926775148e-05
"RIC","adaxial","P1","2","week3",11,110755.84,9.93175619452663e-05
"RIC","adaxial","P1","2","week5",8,110755.84,7.22309541420118e-05
"RIC","adaxial","P2","1","week3",17,110755.84,0.000153490777551775
"RIC","adaxial","P2","1","week5",6,110755.84,5.41732156065089e-05
"RIC","adaxial","P2","2","week3",20,110755.84,0.00018057738535503
"RIC","adaxial","P2","2","week5",7,110755.84,6.32020848742604e-05
"RIC","adaxial","P3","1","week3",13,110755.84,0.000117375300480769
"RIC","adaxial","P3","1","week5",8,110755.84,7.22309541420118e-05
"RIC","adaxial","P3","2","week3",10,110755.84,9.02886926775148e-05
"RIC","adaxial","P3","2","week5",6,110755.84,5.41732156065089e-05
