"label","area","perimeter","axis_major_length","sample","genotype","plant_num","side","rep_num","time"
1,462.954375,86.7080302527855,32.4449842362028,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
2,374.96875,76.2291720294717,28.130957484673,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
3,417.746875,80.1753661071843,28.8359646194181,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
4,352.259375,74.1676496605567,27.8154194018184,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
5,247.479375,61.1867838740466,21.4255247128092,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
6,275.364375,62.3752615051316,21.5330880912101,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
7,422.183125,82.1253661071843,30.9851040281388,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
8,253.9225,65.3886868351903,25.928984404677,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
9,368.314375,75.8484108450142,29.3800968733644,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
10,446.054375,83.4253661071843,31.93081645486,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
11,446.79375,89.7541197284454,34.6225464193723,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
12,452.603125,84.915746699413,32.0116786271711,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
13,393.55875,78.527269068328,29.487107535252,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
14,400.31875,82.9195526217005,31.9072316216755,"Col-0 P1 abaxial_1","Col-0","P1","abaxial","1","week3"
1,475.52375,83.0310749906155,29.7240633610065,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
2,429.47125,83.5368884760993,32.0717128178493,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
3,194.35,51.502112165249,17.1572281846708,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
4,434.11875,80.1291720294717,28.6405520120808,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
5,392.08,77.7848809129029,28.4128481009545,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
6,337.155,69.7156420973604,23.0500877710719,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
7,463.905,87.8176496605568,33.3057066677669,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
8,354.160625,70.7599332139292,24.1728426363905,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
9,422.183125,78.4484108450142,27.7523748308432,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
10,376.553125,74.6599332139292,26.6427391380702,"Col-0 P1 abaxial_2","Col-0","P1","abaxial","2","week3"
1,322.684375,74.1079256507328,30.5035623155692,"Col-0 P1 adaxial_1","Col-0","P1","adaxial","1","week3"
